2017/18,Dec-17,South Eastern,Lagan Valley,Type 2,1518,345,24,1887
2017/18,Dec-17,South Eastern,Ulster,Type 1,4653,"2,575.00",642,7870
2017/18,Dec-17,Southern,Craigavon Area,Type 1,4188,"2,812.00",343,7343
2017/18,Dec-17,Southern,Daisy Hill,Type 1,3235,"1,204.00",79,4518
2017/18,Dec-17,Southern,South Tyrone,Type 3,2116,1,0,2117
2017/18,Dec-17,Western,Altnagelvin Area,Type 1,3773,"1,727.00",76,5576
2017/18,Dec-17,Western,South West Acute,Type 1,2111,856,24,2991
2017/18,Dec-17,Western,Tyrone County,Type 3,1227,3,0,1230
2017/18,Jan-18,Belfast,Mater,Type 1,2700,925,275,3900
2017/18,Jan-18,Belfast,Royal Victoria,Type 1,4567,"2,933.00",542,8042
2017/18,Jan-18,Belfast,RBHSC,Type 1,2482,652,0,3134
2017/18,Jan-18,Belfast,Royal Victoria (RAES),Type 2,1254,144,0,1398
2017/18,Jan-18,Northern,Antrim Area,Type 1,3579,"2,163.00",745,6487
2017/18,Jan-18,Northern,Causeway,Type 1,2094,"1,082.00",358,3534
2017/18,Jan-18,Northern,Mid-Ulster,Type 3,768,0,0,768
2017/18,Jan-18,South Eastern,Ards MIU,Type 3,912,0,0,912
2017/18,Jan-18,South Eastern,Bangor MIU,Type 3,820,0,0,820
2017/18,Jan-18,South Eastern,Downe,Type 2,1631,208,28,1867
2017/18,Jan-18,South Eastern,Lagan Valley,Type 2,1635,363,40,2038
2017/18,Jan-18,South Eastern,Ulster,Type 1,4346,"2,319.00",732,7397
2017/18,Jan-18,Southern,Craigavon Area,Type 1,3570,"2,961.00",499,7030
2017/18,Jan-18,Southern,Daisy Hill,Type 1,2873,"1,107.00",347,4327
2017/18,Jan-18,Southern,South Tyrone,Type 3,2352,0,0,2352
2017/18,Jan-18,Western,Altnagelvin Area,Type 1,3284,"1,702.00",240,5226
2017/18,Jan-18,Western,South West Acute,Type 1,1721,977,126,2824
2017/18,Jan-18,Western,Tyrone County,Type 3,1229,1,0,1230
2017/18,Feb-18,Belfast,Mater,Type 1,2477,"1,112.00",154,3743
2017/18,Feb-18,Belfast,Royal Victoria,Type 1,4044,"2,908.00",320,7272
2017/18,Feb-18,Belfast,RBHSC,Type 1,2136,997,0,3133
2017/18,Feb-18,Belfast,Royal Victoria (RAES),Type 2,1111,218,0,1329
2017/18,Feb-18,Northern,Antrim Area,Type 1,3643,"2,207.00",473,6323
2017/18,Feb-18,Northern,Causeway,Type 1,2314,947,61,3322
2017/18,Feb-18,Northern,Mid-Ulster,Type 3,845,0,0,845
2017/18,Feb-18,South Eastern,Ards MIU,Type 3,897,0,0,897
2017/18,Feb-18,South Eastern,Bangor MIU,Type 3,757,0,0,757
2017/18,Feb-18,South Eastern,Downe,Type 2,1482,165,34,1681
2017/18,Feb-18,South Eastern,Lagan Valley,Type 2,1500,400,26,1926
2017/18,Feb-18,South Eastern,Ulster,Type 1,4068,"2,113.00",724,6905
2017/18,Feb-18,Southern,Craigavon Area,Type 1,3619,"2,665.00",365,6649
